season,week,position,player_id,player_display_name,actual,baseline_pred,ensemble_pred,model_pred,q10,q50,q90,baseline_error,model_error,ensemble_error,model_advantage,ensemble_advantage
2023,1,WR,00-0036626,Dyami Brown,0.0,1.675,0.496,0.219,-0.192,-0.039,2.79,1.675,0.219,0.496,1.456,1.179
2023,1,WR,00-0036635,Ihmir Smith-Marsette,0.0,0.1,0.304,-0.033,-0.192,-0.034,2.684,0.1,0.033,0.304,0.067,-0.204
2023,1,WR,00-0036849,Tutu Atwell,17.9,4.95,8.127,7.731,1.229,6.059,17.739,12.95,10.169,9.773,2.781,3.177
2023,1,WR,00-0036862,Ben Skowronek,0.0,6.175,7.418,6.866,0.747,5.235,16.231,6.175,6.866,7.418,-0.691,-1.243
2023,1,WR,00-0036900,Ja'Marr Chase,9.1,21.0,18.95,19.692,8.583,13.876,25.855,11.9,10.592,9.85,1.308,2.05
2023,1,WR,00-0036912,DeVonta Smith,17.7,20.775,16.406,14.929,4.925,13.376,25.798,3.075,2.771,1.294,0.304,1.781
2023,1,WR,00-0036913,Kadarius Toney,1.0,8.2,6.842,8.078,0.093,4.229,14.283,7.2,7.078,5.842,0.122,1.358
2023,1,WR,00-0036936,Rondale Moore,7.5,14.025,10.002,10.156,3.133,8.718,20.315,6.525,2.656,2.502,3.869,4.023
2023,1,WR,00-0036955,Terrace Marshall Jr.,4.3,5.85,7.11,7.033,1.642,5.907,12.363,1.55,2.733,2.81,-1.183,-1.26
2023,1,WR,00-0036963,Amon-Ra St. Brown,19.1,12.725,14.663,15.161,4.368,12.63,26.587,6.375,3.939,4.437,2.436,1.938
2023,1,WR,00-0036980,Elijah Moore,9.2,4.7,7.842,7.617,0.961,5.764,16.771,4.5,1.583,1.358,2.917,3.142
2023,1,WR,00-0036988,Josh Palmer,1.4,5.85,7.641,7.357,0.506,5.368,16.977,4.45,5.957,6.241,-1.507,-1.791
2023,1,WR,00-0037098,Samori Toure,3.8,4.8,4.464,3.935,-0.01,2.894,10.959,1.0,0.135,0.664,0.865,0.336
2023,1,WR,00-0037132,Britain Covey,0.0,0.0,0.824,0.569,-0.188,0.152,4.372,0.0,0.569,0.824,-0.569,-0.824
